generation,bestFitness,worstFitness,avgFitness,stdFitness,evalDurationNanos,recordedAt
48,0.23148939829419413,0.3711402250108567,0.2791865352147332,0.06503624735475788,320791,2026-02-19T10:31:50.813994Z
49,0.23148939829419413,0.44100947550164704,0.30680506532076585,0.09513351579394416,446250,2026-02-19T10:31:50.815890Z
50,0.23148939829419413,0.35238911491675984,0.31075517994911767,0.056073180063648136,244334,2026-02-19T10:31:50.819518Z
51,0.2303604154506193,0.39465416072536663,0.2987387634406612,0.06984184751753272,326875,2026-02-19T10:31:50.821533Z
52,0.2088650788171914,0.5260815646654726,0.3525761925938804,0.13120555906411577,75834,2026-02-19T10:31:50.821767Z
53,0.2088650788171914,0.32824066167476423,0.2596263223064226,0.05034336910986286,99917,2026-02-19T10:31:50.822714Z
54,0.19078700232197418,0.31318293015482424,0.2652004803099521,0.053348790826923766,72083,2026-02-19T10:31:50.823207Z
55,0.19078700232197418,0.4045793846081928,0.29911222249552644,0.08730376873428282,66958,2026-02-19T10:31:50.823588Z
56,0.13955103769257823,0.23435195623448235,0.19282419619920366,0.03958340837636581,614500,2026-02-19T10:31:50.825497Z
57,0.13955103769257823,0.2699799166820893,0.18875640988208395,0.05786071682104182,572250,2026-02-19T10:31:50.826441Z
58,0.13955103769257823,0.17208837112367031,0.15328901886481408,0.013757001239583998,86584,2026-02-19T10:31:50.827799Z
59,0.13955103769257823,0.21159222875027772,0.18336936423446323,0.031410158962857274,151334,2026-02-19T10:31:50.829020Z
60,0.11179419573108208,0.3043616584401734,0.17827733637283727,0.0891993368587012,120334,2026-02-19T10:31:50.831827Z
61,0.11179419573108208,0.22528286383396767,0.1806685843011484,0.04940535810898832,219500,2026-02-19T10:31:50.832283Z
62,0.11179419573108208,0.3944347175356444,0.22952222029970235,0.1201143815623501,84500,2026-02-19T10:31:50.832518Z
63,0.11179419573108208,0.13976919284675315,0.1274675414809369,0.01166694356347508,114416,2026-02-19T10:31:50.834767Z
64,0.11179419573108208,0.19939738275667676,0.166852191398745,0.039146727089047234,203458,2026-02-19T10:31:50.836631Z
65,0.11179419573108208,0.16614405529029166,0.14388513154574353,0.023251926866915667,380833,2026-02-19T10:31:50.837846Z
